X,Y,Z,Name,description
4.65821,52.54464,0,Huis van Hilde,"
        <b>Type:</b> Museum <b>County/Region:</b> Noord-Holland <b>Alt Name:</b> Hilde's House <br /> Pos Accuracy: <b>5</b> Condition: <b>5</b> (5 is best)   Ambience: <b>5</b>  Access: <b>5</b>  (5 is best)<br />
                    <b>Lat:</b> 52.54464 &nbsp;&nbsp;&nbsp;<b>Long</b>: 4.65821<img src=""http://www.megalithic.co.uk/a558/a312/gallery/benelux/The_Netherlands/thumb/flk24814881200.jpg"" align=""right"" valign=""top""></a>
<br />
                    Huis van Hilde (Hilde's House) is the archaeology information centre and repository of the Dutch province of Noord-Holland (North Holland), which was opened in Castricum in early 2015. It was named af...<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=46430"" >Link To More Information</a><br />
                    "
6.798699,52.930687,0,Hunebedcentrum,"
        <b>Type:</b> Museum <b>County/Region:</b> Drenthe <b>Alt Name:</b> Hunebed Centre, Hunebed Museum <br /> Pos Accuracy: <b>4</b> Condition: <b>5</b> (5 is best)   Ambience: <b>5</b>  Access: <b>5</b>  (5 is best)<br />
                    <b>Lat:</b> 52.930687 &nbsp;&nbsp;&nbsp;<b>Long</b>: 6.798699<img src=""http://www.megalithic.co.uk/a558/a312/gallery/benelux/The_Netherlands/thumb/cwa_IMG_6190.jpg"" align=""right"" valign=""top""></a>
<br />
                    The Borger Hunebed Centre, situated on a sand ridge (Hondsrug) in the province of Drenthe in the Netherlands takes you back to prehistoric times, when the first people settled there. It was they who b...<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=19383"" >Link To More Information</a><br />
                    "
6.1391857,53.2559374,0,Ijstijdenmuseum,"
        <b>Type:</b> Museum <b>County/Region:</b> Friesland <br /> Pos Accuracy: <b>5</b> Condition: <b>5</b> (5 is best)   Ambience: <b>4</b>  Access: <b>5</b>  (5 is best)<br />
                    <b>Lat:</b> 53.2559374 &nbsp;&nbsp;&nbsp;<b>Long</b>: 6.1391857<img src=""http://www.megalithic.co.uk/a558/a312/gallery/benelux/The_Netherlands/thumb/46385-2024-07-05-11-41-05.jpg"" align=""right"" valign=""top""></a>
<br />
                    A museum dedicated to prehistory and geology of Friesland. It is located in the grounds of the botanical garden of De Kruidhof and the entry fee is valid for both attractions. On display in the museum...<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=46385"" >Link To More Information</a><br />
                    "
6.64552,52.84576,0,IJzertijderf Orvelte,"
        <b>Type:</b> Museum <b>County/Region:</b> Drenthe <br /> Pos Accuracy: <b>4</b>  (5 is best)<br />
                    <b>Lat:</b> 52.84576 &nbsp;&nbsp;&nbsp;<b>Long</b>: 6.64552<br />
                    Museum in Drenthe. Reconstruction of an Iron Age farm.<br />
<br />
Website  <br />
...<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=58599"" >Link To More Information</a><br />
                    "
5.73213,50.80006,0,Informatiecentrum Mijn Rijckholt,"
        <b>Type:</b> Museum <b>County/Region:</b> Limburg <br /> Pos Accuracy: <b>4</b>  (5 is best)<br />
                    <b>Lat:</b> 50.80006 &nbsp;&nbsp;&nbsp;<b>Long</b>: 5.73213<br />
                    Museum in Limburg. Information centre about the ancient flint mines of Rijckholt, in a former dominican monastery. Close to the starting point for organized excursions to the mines, which are about 1,...<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=58758"" >Link To More Information</a><br />
                    "
5.52668,51.765456,0,Jan Cunen Museum,"
        <b>Type:</b> Museum <b>County/Region:</b> Noord-Brabant <br /> Pos Accuracy: <b>4</b>  Access: <b>5</b>  (5 is best)<br />
                    <b>Lat:</b> 51.765456 &nbsp;&nbsp;&nbsp;<b>Long</b>: 5.52668<br />
                    Museum in Noord-Holland. Museum in Oss.<br />
<br />
http://www.museumjancunen.nl/...<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=24559"" >Link To More Information</a><br />
                    "
6.171944,51.366667,0,Limburgs Museum,"
        <b>Type:</b> Museum <b>County/Region:</b> Limburg <br /> Pos Accuracy: <b>5</b> Condition: <b>5</b> (5 is best)   Ambience: <b>3</b>  Access: <b>5</b>  (5 is best)<br />
                    <b>Lat:</b> 51.366667 &nbsp;&nbsp;&nbsp;<b>Long</b>: 6.171944<img src=""http://www.megalithic.co.uk/a558/a312/gallery/benelux/The_Netherlands/thumb/2016-06-25_15.10.06.jpg"" align=""right"" valign=""top""></a>
<br />
                    Museum in Limburg. The Museum of Limburg is a cult-historic museum in Venlo, Limburg. The museum has an extensive archaeological collection, of which the oldest pieces date back to the Neolithic.<br /...<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=45113"" >Link To More Information</a><br />
                    "
5.4256238,51.4545462,0,Maria Visitatiekerk,"
        <b>Type:</b> Museum <b>County/Region:</b> Noord-Brabant <b>Alt Name:</b> Kunstinhetkerkje <br /> Pos Accuracy: <b>5</b> Condition: <b>5</b> (5 is best)   Ambience: <b>4</b>  Access: <b>5</b>  (5 is best)<br />
                    <b>Lat:</b> 51.4545462 &nbsp;&nbsp;&nbsp;<b>Long</b>: 5.4256238<img src=""http://www.megalithic.co.uk/a558/a312/gallery/benelux/The_Netherlands/thumb/msg_IMG_2584.jpg"" align=""right"" valign=""top""></a>
<br />
                    Ancient Church/Exhibition Gallery in Noord-Brabant. The Maria Visitatie Church was build in the 12th century AD. It was build as a simple village church. <br />
Two centuries later, the tower has bee...<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=58681"" >Link To More Information</a><br />
                    "
4.33027,51.92849,0,"Masamuda Educatief archeologisch erf, Vlaardingen","
        <b>Type:</b> Museum <b>County/Region:</b> Zuid-Holland <br /> Pos Accuracy: <b>4</b>  (5 is best)<br />
                    <b>Lat:</b> 51.92849 &nbsp;&nbsp;&nbsp;<b>Long</b>: 4.33027<br />
                    Open air educative centre with reconstruction of a neolithic (Vlaardingen culture) and a Medieval farm. Centre for experimental archeology and reconstruction of historical landscape. . Open on Sunday ...<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=59038"" >Link To More Information</a><br />
                    "
5.43698,52.52131,0,Museum Batavialand,"
        <b>Type:</b> Museum <b>County/Region:</b> Flevoland <b>Alt Name:</b> Voorheen Nieuw Land Erfgoedcentrum <br /> Pos Accuracy: <b>5</b>  Access: <b>5</b>  (5 is best)<br />
                    <b>Lat:</b> 52.52131 &nbsp;&nbsp;&nbsp;<b>Long</b>: 5.43698<br />
                    Museum in Flevoland. Provincial museum with archeological finds.
<br /><br />Official Web Site: https://www.batavialand.nl...<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=53877"" >Link To More Information</a><br />
                    "
