X,Y,Z,Name,description
6.78518,52.95197,0,D19 Drouwen,"
        <b>Type:</b> Passage Grave <b>County/Region:</b> Drenthe <b>Alt Name:</b> Drouwen West <br /> Pos Accuracy: <b>5</b> Condition: <b>3</b> (5 is best)   Ambience: <b>3</b>  Access: <b>4</b>  (5 is best)<br />
                    <b>Lat:</b> 52.95197 &nbsp;&nbsp;&nbsp;<b>Long</b>: 6.78518<img src=""http://www.megalithic.co.uk/a558/a312/gallery/benelux/The_Netherlands/thumb/d19a_by_t1sup-dbhzewk.jpg"" align=""right"" valign=""top""></a>
<br />
                    D19 Passage Grave near Drouwen in Drenthe. Original description by Sunflowerbird<br />
Not much left of the original chamber, but it does have many of its original orthostats. It sits within metres o...<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=381"" >Link To More Information</a><br />
                    "
6.4458594,53.0556984,0,D2 Westervelde,"
        <b>Type:</b> Passage Grave <b>County/Region:</b> Drenthe <b>Alt Name:</b> D2 Norg <br /> Pos Accuracy: <b>5</b> Condition: <b>3</b> (5 is best)   Ambience: <b>3</b>  Access: <b>5</b>  (5 is best)<br />
                    <b>Lat:</b> 53.0556984 &nbsp;&nbsp;&nbsp;<b>Long</b>: 6.4458594<img src=""http://www.megalithic.co.uk/a558/a312/gallery/benelux/The_Netherlands/thumb/rsD2Westervelde2011Bild1a.jpg"" align=""right"" valign=""top""></a>
<br />
                    Skeleton of an East-West orientated 4 capstone passage grave. Chamber measuring appr. 7,7m by 2,3m. It is halfways filled with earth. Clear height less than half of the estimated original one. 
. Cap...<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=364"" >Link To More Information</a><br />
                    "
6.78558,52.95192,0,D20 Drouwen,"
        <b>Type:</b> Passage Grave <b>County/Region:</b> Drenthe <b>Alt Name:</b> Drouwen Oost <br /> Pos Accuracy: <b>5</b> Condition: <b>3</b> (5 is best)   Ambience: <b>4</b>  Access: <b>5</b>  (5 is best)<br />
                    <b>Lat:</b> 52.95192 &nbsp;&nbsp;&nbsp;<b>Long</b>: 6.78558<img src=""http://www.megalithic.co.uk/a558/a312/gallery/benelux/The_Netherlands/thumb/D20Drouwen2009Bild5a.jpg"" align=""right"" valign=""top""></a>
<br />
                    D20 Passage Grave near Drouwen in Drenthe. The 6-capstone passage grave measures approximately 11m x 3,2m. The 16m x 7m enclosure is well-preserved/restored. Some missing kerb-stones are marked by con...<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=382"" >Link To More Information</a><br />
                    "
6.8001335,52.9442389,0,D21 Bronneger,"
        <b>Type:</b> Passage Grave <b>County/Region:</b> Drenthe <b>Alt Name:</b> Bronneger-West <br /> Pos Accuracy: <b>5</b> Condition: <b>4</b> (5 is best)   Ambience: <b>4</b>  Access: <b>4</b>  (5 is best)<br />
                    <b>Lat:</b> 52.9442389 &nbsp;&nbsp;&nbsp;<b>Long</b>: 6.8001335<img src=""http://www.megalithic.co.uk/a558/a312/gallery/benelux/The_Netherlands/thumb/D21Bronneger2009Bild1.jpg"" align=""right"" valign=""top""></a>
<br />
                    Passage Grave at Bronneger in Drenthe. D21, D22, D23, D24 and D25 are all very close together. Five for the price of one!<br />D21 and D22 are only about 4 metres apart, D21 being in much better condi...<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=383"" >Link To More Information</a><br />
                    "
6.80053,52.94442,0,D22 Bronneger,"
        <b>Type:</b> Passage Grave <b>County/Region:</b> Drenthe <b>Alt Name:</b> Bronneger-Oost <br /> Pos Accuracy: <b>5</b> Condition: <b>3</b> (5 is best)   Ambience: <b>4</b>  Access: <b>4</b>  (5 is best)<br />
                    <b>Lat:</b> 52.94442 &nbsp;&nbsp;&nbsp;<b>Long</b>: 6.80053<img src=""http://www.megalithic.co.uk/a558/a312/gallery/benelux/The_Netherlands/thumb/SAM_5481_Hunebed_D22.JPG"" align=""right"" valign=""top""></a>
<br />
                    5 orthostats and 2 large capstones are left of this passage grave. Possibly in situ, but the chamber is deeply hidden in the ground. Only the 2 capstones and one orthostat are visible nowadays. . Ther...<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=384"" >Link To More Information</a><br />
                    "
6.80269,52.94478,0,D23 Bronneger,"
        <b>Type:</b> Passage Grave <b>County/Region:</b> Drenthe <b>Alt Name:</b> Bronneger-Noord <br /> Pos Accuracy: <b>5</b> Condition: <b>3</b> (5 is best)   Ambience: <b>4</b>  Access: <b>4</b>  (5 is best)<br />
                    <b>Lat:</b> 52.94478 &nbsp;&nbsp;&nbsp;<b>Long</b>: 6.80269<img src=""http://www.megalithic.co.uk/a558/a312/gallery/benelux/The_Netherlands/thumb/D23_Bron_2.jpg"" align=""right"" valign=""top""></a>
<br />
                    Passage Graves at Bronneger in Drenthe in the Netherlands. The sites known as D23, D24 and D25 stand in a little copse about 50m from the equally excitingly named D21 and D22. D23 is really just a dol...<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=385"" >Link To More Information</a><br />
                    "
6.80227,52.94457,0,D24 Bronneger,"
        <b>Type:</b> Passage Grave <b>County/Region:</b> Drenthe <b>Alt Name:</b> Bronneger-Zuidwest <br /> Pos Accuracy: <b>5</b> Condition: <b>3</b> (5 is best)   Ambience: <b>4</b>  Access: <b>3</b>  (5 is best)<br />
                    <b>Lat:</b> 52.94457 &nbsp;&nbsp;&nbsp;<b>Long</b>: 6.80227<img src=""http://www.megalithic.co.uk/a558/a312/gallery/benelux/The_Netherlands/thumb/d24_25_cr_by_t1sup-dbi2n3j.jpg"" align=""right"" valign=""top""></a>
<br />
                    Passage Grave at Bronneger in Drenthe. (Site description submitted by 
Martin_L
, October 2009) <br />
Partly damaged smaller 4-capstone passage grave orientated ENE-WSW. Two capstones and at least...<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=386"" >Link To More Information</a><br />
                    "
6.80308,52.94444,0,D25 Bronneger,"
        <b>Type:</b> Passage Grave <b>County/Region:</b> Drenthe <b>Alt Name:</b> Bronneger-Zuidoost <br /> Pos Accuracy: <b>5</b> Condition: <b>3</b> (5 is best)   Ambience: <b>4</b>  Access: <b>4</b>  (5 is best)<br />
                    <b>Lat:</b> 52.94444 &nbsp;&nbsp;&nbsp;<b>Long</b>: 6.80308<img src=""http://www.megalithic.co.uk/a558/a312/gallery/benelux/The_Netherlands/thumb/D25_Bron.jpg"" align=""right"" valign=""top""></a>
<br />
                    Passage Grave at Bronneger in Drenthe. Very close to D23 and badly trashed D24 in a copse near to D21 and D22, D25 is a very sweet hunebed of the smaller type.
<br /><br /> Monumentenregister (Histor...<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=387"" >Link To More Information</a><br />
                    "
6.7745464,52.9431918,0,D26 Drouwen,"
        <b>Type:</b> Passage Grave <b>County/Region:</b> Drenthe <b>Alt Name:</b> Drouwenerveld <br /> Pos Accuracy: <b>4</b> Condition: <b>3</b> (5 is best)   Ambience: <b>4</b>  Access: <b>3</b>  (5 is best)<br />
                    <b>Lat:</b> 52.9431918 &nbsp;&nbsp;&nbsp;<b>Long</b>: 6.7745464<img src=""http://www.megalithic.co.uk/a558/a312/gallery/benelux/The_Netherlands/thumb/D26Drouwen2009Bild2.jpg"" align=""right"" valign=""top""></a>
<br />
                    Passage Grave near Drouwen in Drenthe. West of the village of Drouwen, this one is not so easy to find.
<br /><br />
Restoration took place in 1970-1972
<br /><br /> Monumentenregister (Historic Mo...<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=388"" >Link To More Information</a><br />
                    "
6.79764,52.93028,0,D27 Borger,"
        <b>Type:</b> Passage Grave <b>County/Region:</b> Drenthe <br /> Pos Accuracy: <b>5</b> Condition: <b>4</b> (5 is best)   Ambience: <b>4</b>  Access: <b>4</b>  (5 is best)<br />
                    <b>Lat:</b> 52.93028 &nbsp;&nbsp;&nbsp;<b>Long</b>: 6.79764<img src=""http://www.megalithic.co.uk/a558/a312/gallery/benelux/The_Netherlands/thumb/D27Borger2009Bild5a.jpg"" align=""right"" valign=""top""></a>
<br />
                    Hunebed D27 in Drenthe, the largest in Holland. . About 25 yards long, it stands beside the Hunebedden Information Center. <br />
The Center has several exhibits (in Dutch) on the Funnel Beaker Peopl...<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=389"" >Link To More Information</a><br />
                    "
6.811287,52.9259511,0,D28 Borger,"
        <b>Type:</b> Passage Grave <b>County/Region:</b> Drenthe <b>Alt Name:</b> D28 Buinen-Noord <br /> Pos Accuracy: <b>5</b> Condition: <b>3</b> (5 is best)   Ambience: <b>4</b>  Access: <b>4</b>  (5 is best)<br />
                    <b>Lat:</b> 52.9259511 &nbsp;&nbsp;&nbsp;<b>Long</b>: 6.811287<img src=""http://www.megalithic.co.uk/a558/a312/gallery/benelux/The_Netherlands/thumb/DS050705110755_721X500.jpg"" align=""right"" valign=""top""></a>
<br />
                    Passage Grave between Borger and Buinen in Drenthe. Drive east out of Borger on Buinen Road for 2kms at most and you find D28 and its sister in a field to your right. Lovely. Both are small, but a won...<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=390"" >Link To More Information</a><br />
                    "
6.81144,52.92569,0,D29 Borger,"
        <b>Type:</b> Passage Grave <b>County/Region:</b> Drenthe <b>Alt Name:</b> D29 Buinen-Zuid <br /> Pos Accuracy: <b>5</b> Condition: <b>3</b> (5 is best)   Ambience: <b>3</b>  Access: <b>4</b>  (5 is best)<br />
                    <b>Lat:</b> 52.92569 &nbsp;&nbsp;&nbsp;<b>Long</b>: 6.81144<img src=""http://www.megalithic.co.uk/a558/a312/gallery/benelux/The_Netherlands/thumb/madcat_d29_4575.JPG"" align=""right"" valign=""top""></a>
<br />
                    Passage Grave between Borger and Buinen in Drenthe. Drive east out of Borger on Buinen Road for 2kms at most and you find D29 and its sister D28m in a field to your right. Lovely, a wonderful place to...<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=391"" >Link To More Information</a><br />
                    "
