X,Y,Z,Name,description
5.60222,52.19213,0,Flint workshop Voorthuizen,"
        <b>Type:</b> Ancient Mine, Quarry or other Industry <b>County/Region:</b> Gelderland <b>Alt Name:</b> Vuursteenwerkplaats <br /> Pos Accuracy: <b>4</b>  Ambience: <b>3</b>  (5 is best)<br />
                    <b>Lat:</b> 52.19213 &nbsp;&nbsp;&nbsp;<b>Long</b>: 5.60222<br />
                    During work on the road in 2018 several archaeological finds were made, amongst which a Mesolithic flint workshop. There is an information board about the finds.. ...<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=61013"" >Link To More Information</a><br />
                    "
5.744562,50.794607,0,Rijckholt Flint Mine,"
        <b>Type:</b> Ancient Mine, Quarry or other Industry <b>Alt Name:</b> vuursteenmijn van Rijckholt <br /> Pos Accuracy: <b>4</b> Condition: <b>5</b> (5 is best)   Ambience: <b>5</b>  Access: <b>3</b>  (5 is best)<br />
                    <b>Lat:</b> 50.794607 &nbsp;&nbsp;&nbsp;<b>Long</b>: 5.744562<img src=""http://www.megalithic.co.uk/a558/a312/gallery/benelux/The_Netherlands/thumb/flk14872813741.jpg"" align=""right"" valign=""top""></a>
<br />
                    Ancient Mine the Netherlands. Ancient Flint Mine in the south of Limburg. More information on the site of Jop Planje: More at megalieten.planje.info...<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=33653"" >Link To More Information</a><br />
                    "
5.82347,50.86548,0,Valkenburg Flint Mine,"
        <b>Type:</b> Ancient Mine, Quarry or other Industry <b>Alt Name:</b> Vuursteenmijn van Valkenburg <br /> Pos Accuracy: <b>5</b> Condition: <b>2</b> (5 is best)   Ambience: <b>3</b>  Access: <b>5</b>  (5 is best)<br />
                    <b>Lat:</b> 50.86548 &nbsp;&nbsp;&nbsp;<b>Long</b>: 5.82347<br />
                    Ancient Mine in the Netherlands. Remains of 7 pits of an ancient flint mine. The location is at the Plenkertstraat in Valkenburg, near the open air theatre and the Roman Catacombes (replica). More inf...<b>.</b> (c) Meg. Portal contributors.<br />
		     <a href=""http://www.megalithic.co.uk/article.php?sid=33654"" >Link To More Information</a><br />
                    "
